订单号,订单类型,币种,法币,总价,价格,数量,汇率,交易方,状态,创建时间
20210746621824638976,购买,USDT,CNY,9200.0000000000000000,6.6600000000000000,1381.3800000000000000,"",大禹之翼,已完成,2021-04-01 01:18:34
20214052599239954432,购买,USDT,CNY,11028.4900000000000000,6.7300000000000000,1638.7000000000000000,"",❤️   魏先生诚信商行,已取消,2021-04-10 04:15:20
20214052822848352256,购买,USDT,CNY,11033.4900000000000000,6.7300000000000000,1639.4400000000000000,"",❤️   魏先生诚信商行,已完成,2021-04-10 04:16:14
20214084379631263744,购买,USDT,CNY,1000.0000000000000000,6.7300000000000000,148.5800000000000000,"",U秀资本✨极速秒放,已完成,2021-04-10 06:21:37
20219803789934096384,购买,USDT,CNY,5000.0000000000000000,6.7000000000000000,746.2600000000000000,"",梦工厂商行,已完成,2021-04-26 01:08:31
20219804609752846336,购买,USDT,CNY,5000.0000000000000000,6.7000000000000000,746.2600000000000000,"",梦工厂商行,已完成,2021-04-26 01:11:46
20220170797750300672,购买,USDT,CNY,4265.5300000000000000,6.5900000000000000,647.2700000000000000,"",买必赚-专业安全usdt,已完成,2021-04-27 01:26:53
20220543468913209344,购买,USDT,CNY,4812.4600000000000000,6.5600000000000000,733.6000000000000000,"",湖南币商,已完成,2021-04-28 02:07:44
20220548415114956800,购买,USDT,CNY,4957.1000000000000000,6.5600000000000000,755.6500000000000000,"",发呆的猪仔,已完成,2021-04-28 02:27:23
20220926821576437760,购买,USDT,CNY,3476.5700000000000000,6.5500000000000000,530.7700000000000000,"",发呆的猪仔,已完成,2021-04-29 03:31:03
20221011647696322560,购买,USDT,CNY,17999.2000000000000000,6.5300000000000000,2756.3800000000000000,"",发呆的猪仔,已完成,2021-04-29 09:08:07
20221299849203326976,购买,USDT,CNY,5958.4800000000000000,6.5200000000000000,913.8700000000000000,"",跳跳虎24h,已取消,2021-04-30 04:13:19
20221301189581250560,购买,USDT,CNY,5958.4800000000000000,6.5200000000000000,913.8700000000000000,"",湖南币商,已取消,2021-04-30 04:18:39
20221301709119238144,购买,USDT,CNY,5958.4800000000000000,6.5200000000000000,913.8700000000000000,"",跳跳虎24h,已完成,2021-04-30 04:20:43
20221400910814912512,购买,USDT,CNY,1534.6400000000000000,6.5000000000000000,236.0900000000000000,"",博睿资本,已完成,2021-04-30 10:54:54
20224679343926210560,出售,USDT,CNY,1179.6800000000000000,6.5600000000000000,179.8300000000000000,"",海叔商行,已完成,2021-05-09 12:02:14
20225021583992877056,购买,USDT,CNY,105311.8600000000000000,6.5400000000000000,16102.7300000000000000,"",众鑫财富★大额保障,已取消,2021-05-10 10:42:10
20225033247597473792,购买,USDT,CNY,105311.8600000000000000,6.5600000000000000,16053.6300000000000000,"",亿万富豪★★★,已取消,2021-05-10 11:28:31
20225606255492370432,购买,USDT,CNY,105288.3400000000000000,6.5400000000000000,16099.1300000000000000,"",光头强,系统已取消,2021-05-12 01:25:27
20225679641434083328,购买,USDT,CNY,105200.0000000000000000,6.5300000000000000,16110.2600000000000000,"",亿万富豪★★★,已完成,2021-05-12 06:17:03
20230082322772664320,购买,USDT,CNY,69859.4100000000000000,6.3700000000000000,10966.9400000000000000,"",⭐大马财富✔矿圈收币 ⭐,已取消,2021-05-24 09:51:44
20230086206292008960,购买,USDT,CNY,69859.4100000000000000,6.3700000000000000,10966.9400000000000000,"",⭐大马财富✔矿圈收币 ⭐,已完成,2021-05-24 10:07:10
20232173976725475328,出售,USDT,CNY,17756.8900000000000000,6.4300000000000000,2761.5700000000000000,"",小五币行，安全快捷,已完成,2021-05-30 04:23:14
